"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2021","1","2100601","BASIC ENG BME","1","2","LAB","TH","","","","","","","1500","1600","ENG1 ","203/1","S","N","    ","2.000","1.000","3.000","0","10"," "," "," ","21"
"2021","1","2100611","SPE TOP BME I","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ","3.000",".000","3.000","2","20","","","","21"
"2021","1","2100612","SPE TOP BME II","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ","3.000",".000","3.000","1","20","","","","21"
"2021","1","2100614","SPE TOP BME IV","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ","3.000",".000","3.000","0","20","","","","21"
"2021","1","2100791","BME SEM I","1","1","SMNA","WE","","","","","","","0930","1230","ENG3 ","321  ","S","N","    ","2.000",".000","2.000","13","20","","","","21"
"2021","1","2100793","BME SEM III","1","1","LECT","IA","","","","","","","IA  ","IA  ","ENG1 ","IA   ","S","N","    ","2.000",".000","2.000","4","20"," "," "," ","21"
"2020","2","2148634","MAT CHARACTE","1","1","LECT","TH","","","","","","","0900","1200","ENG1 ","AR   ","S","N","    ","3.000",".000","3.000","2","1","","","","21"
"2020","2","2148658","FIN ELE METH ENG","1","1","LECT","MO","","","","","","","1300","1600","ENG1 ","AR   ","S","N","    ","3.000",".000","3.000","0","1","","","","21"
"2020","2","2163621","SUP CHAIN MGT","1","1","LECT","SU","FR","SA","","","","","0830","1745","ENG4 ","AR   ","S","N","    ","2.000",".000","2.000","0","50","MODULE","","","21"
"2020","2","2163633","OP STG IND","1","1","LECT","SU","FR","SA","","","","","0830","1745","ENG4 ","AR   ","S","N","    ","2.000",".000","2.000","0","50","MODULE","","","21"
"2020","2","2163637","FIN ANAL CONT SYS","1","1","LECT","SU","FR","SA","","","","","0830","1745","ENG4 ","AR   ","S","N","    ","2.000",".000","2.000","16","50","","","","21"
"2020","2","2163692","ADV TOP ENG MGT II","1","1","LECT","SU","FR","SA","","","","","0830","1745","ENG4 ","AR   ","S","N","    ","2.000",".000","2.000","0","50","","","","21"
"2020","2","2163813","THESIS","1","1","IDPS","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ",".000","18.000","18.000","15","50","","","","21"
"2019","2","2111648","NUC PL SYS OPER","2","2","LAB","TH","","","","","","","0900","1200","NT   ","206  ","S","N","    ","2.000","1.000","3.000","0","10","","","","21"
"2025","1","2148629","MECH SYS VEH ENG","1","1","LECT","AR","","","","","","","AR  ","AR  ","AR   ","AR   ","S","N","    ","3.000",".000","3.000","1","10","","","","21"
"2020","2","2112661","COASTAL ENG","1","1","LECT","TU","TH","","","","","","0930","1100","ENG1 ","AR   ","S","N","    ","3.000",".000","3.000","0","35"," "," "," ","21"
"2020","2","2112673","ECON WR SYS","1","1","LECT","TU","TH","","","","","","0800","0930","ENG1 ","305/2","S","N","    ","3.000",".000","3.000","0","5"," "," "," ","21"
"2020","2","2112691","SP STUDIES WR ENG","1","1","LECT","MO","WE","","","","","","0800","0930","ENG1 ","305/2","S","N","    ","3.000",".000","3.000","0","20","","","","21"
"2018","1","2145497","SEL TOP AERO I","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","I","N","3   ","3.000",".000","3.000","0","10"," "," "," ","21"
"2018","2","2100326","STUDY ABROAD I","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","I","N","    ","3.000",".000","3.000","0","10"," "," "," ","21"
