"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"00034127","19850101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000363","Nagoya University","20000878","วิศวกรรมไฟฟ้า","10461","Master of Engineering","JP","Japan"," "," "," ","ไม่","99998","ปรับวุฒิ","19870101"
"00034136","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000782","University of Minnesota","10000499","Industrial Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19990730"
"00034136","19900601","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000899","วิศวกรรมอุตสาหการ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19940420"
"00034136","20000503","99991231","H1","ปริญญาเอก/เทียบเท่า","2200000398","สถาบันเทคโนโลยีแห่งเอเชีย","20000899","วิศวกรรมอุตสาหการ","20259","วิศวกรรมศาสตรดุษฎีบัณฑิต","TH","ไทย"," "," ","X","ใช่","99998","ปรับวุฒิ","20120121"
"10016553","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000329","Massachusetts Institute of Technology","10000171","Civil and Environmental Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20100604"
"10016553","19980522","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000883","วิศวกรรมโยธา","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย","00","เกียรตินิยมอันดับ 1"," ","ไม่","99997","วุฒิเพิ่มเติม","20020521"
"10016567","20010101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000023","มหาวิทยาลัยเทคโนโลยีราชมงคล","20000899","วิศวกรรมอุตสาหการ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20050306"
"10016567","19900101","99991231","C3","ปวส.หรือเทียบเท่า","2200000023","มหาวิทยาลัยเทคโนโลยีราชมงคล","20000319","ช่างกลโรงงาน","20172","ประกาศนียบัตรวิชาชีพชั้นสูง","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19960101"
"10024119","20161001","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000762","University of Leeds","00000000","--ไม่สามารถระบุได้--","10314","Doctor of Philosophy","GB","United Kingdom"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20210811"
"10019910","19910620","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000008","มหาวิทยาลัยกรุงเทพ","20000682","ภาษาอังกฤษ","20312","ศิลปศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","19950203"
"00035010","19940601","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000378","สถาบันเทคโนโลยีราชมงคล","20000878","วิศวกรรมไฟฟ้า","20016","ครุศาสตร์อุตสาหกรรมบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19960518"
"00035010","19930701","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000084","มหาวิทยาลัยสุโขทัยธรรมาธิราช","20000507","บริหารการศึกษา","20320","ศึกษาศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19951030"
"00035010","20000521","99991231","F1","ปริญญาโท/เทียบเท่า","2200000416","สถาบันราชภัฎพระนคร","20000456","เทคโนโลยีอุตสาหกรรม","20015","ครุศาสตรมหาบัณฑิต","TH","ไทย"," "," ","X","ใช่","99998","ปรับวุฒิ","20040419"
"00035024","19960101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000871","University of Washington","10000650","Mechanical Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","20000906"
